162534020691927041,“@celta_7_: @David_Busta. Cuanto entrenas cada dia?”UNAS 2 HORAS,NONE
173687835969327104,“@martagg: @David_Busta tu rompes el mito que los artistas no se levantan antes de la 1 no?buenos días desde Ibiza” Me he caído de la cama!,P
770571007736287232,"@lithospheric Mejor. Cuando pagan la ESA y la NASA, al fin y al cabo pagamos todos  Que chulada!",P
189638603264106496,"El Gobierno se topa con la realidad, por @Nuno_Rodrigo5  http://t.co/mOvzLDpN",N
811976287694848004,#MeDicenLindoPor mis grandes ojos con pestañas súper pobladas,NONE
808842829657149440,"@ppkamigo Mis Felicitaciones para Usted Señor Presidente. Su mensaje fue muy bueno, firme y directo. Mi familia y yo le mandamos saludos!",P
181712408291708930,En Proyecto Hombre #malaga están 650 personas en tratamiento y 10.000 adolescentes en prevención. La Junta no los apoya. Quieren cambio,N
800846240468660224,@jrojasnovoa eso mismo de hecho has logrado un montón porque valoras el esfuerzo y eso es más bien envidiable,P
182743531234922497,Según el relato de EP la única presión que se materializó fue regalarle a una de las rumanas una camiseta del Madrid. Pólvora en salvas.,N
760726897819017216,"@CotoLau @AndreCorts yo también tuve los libros de AMP y no me convecieron :/, yo pasé los exámenes pero gracias a los exámenes viejos",NEU
188428210625716224,Servitas #cofradiasmlg #malaga .  @ Centro Historico de Málaga http://t.co/mMsHCGFt http://t.co/LU1DnOpW,NONE
796254025033322496,Que dicha que me vale todo lo que todo el mundo diga,P
761704669676789761,@SalvatoreCaro siiiiiii justo te iba a escribir !!!!! Ni modo así suceden las cosas.... Siguiente semana a mi regreso de #Rio2016 !!!!,NONE
162719659550965761,"RT @RM_Team  El episodio de #Glee ""The Spanish Teacher"" sale al aire este 7 de Feb, 8pm EST en FOX! No C lo pierdan! http://t.co/l9U1nMNJ",P
818918670093127681,Odio la burocracia y mucho más la burocracia mal estructurada,N
148380334977843200,"Con @pacodelatorrep en la ermita de la Virgen de la Paloma de Mangas Verdes , Patrona de Verdiales http://t.co/6VFuG257",NONE
186709163383070720,7 muertos en las carreteras durante 1ª fase de operación especial de tráfico de la Semana Santa (desde 15 h vienes a 24 h del domingo) DGT,N
817898537237086210,"Ricardito es un buen amigo y su abuelita necesita apoyo. RT por favor, gracias BBVA: 0011-0057-0211103133",P
807067871792611328,+ a veces se la pedía prestado se molestó y me la vendió para que no la joda. Ahora ella es la que más la usa,NONE
188362923503132672,Religión 2.0:la Iglesia se vuelca en las redes sociales para rejuvenecer su feligresía. #portadaEPC de Sábado de Pasiónhttp://t.co/r8bAzxKO,P
770915801654329344,"Voy a sentar a mi sobrina en el médico y me dicen uno súper mal ""está ocupado"" y le digo yo, pues se desocupa para la niña ",N
147257058817871873,"Rosa Díez acepta que se le sume el diputado de Cascos. Lo había rechazado y lo criticó en 2008 cuando lo hicieron ERC, IU, ICV y BNG.",NEU
809600062804361217,"@mariellymc y me responde, a no gracias estoy a dieta jjajajajaja",NONE
188933788812853248,"Con el pollo que montaré mañana verás como no.“@merpiera: @antoniocamunas siguiendo una lógica aplastante, en verano la oferta será a 40€!”",N
148748701639262208,"#discursorajoy Lo bueno-poco- bien explicado. Lo malo- mucho- apenas insinuado. Conclusión: hasta los idus de marzo, no sabremos.",NEU
178059517144211456,"Francia confía en España, que está haciendo «un gran trabajo» http://t.co/vfLxBPCH",P
151001942078926849,"¿No os parece que al pedir ""ejemplaridad"" y ""ética"" además de ""legalidad"" el Rey ha subido también el listón para Camps, Chaves o Blanco?",NEU
185711321264816128,La luz doméstica sube un 7% #pge,N
768113469912674305,"@Bvillamor_gay ha sido un placer! Muy profesionales  hoy en @ed_tve a las 19,39 ",P
156004457061163009,Expresos del franquismo forman 'La Comuna' para exigir justicia. Por @Diego_Barcala. http://t.co/5OhElBh3 #porquePúblicohacefalta,N
801653978991886336,@andynuinsa @NachoSantos7 me dejo congelado. Por algo es el amo de los ratings!!!,P
804903069360287744,¿Quién va a querer a un tipo que llega a su casa a las 12 de la noche a su casa 5 veces por semana? ¿Y que no tiene findes ni feriados?,N
165457354404528128,Nuevo logo de derechos humanos.Que se extienda por el mundo. Abrazos y feliz viernes !! http://t.co/dj25oFDc,P
180975772318699520,"Lo que dijo Mayor Oreja es que ETA, en función del resultado electoral, se replanteará si vuelve a matar... http://t.co/VLwTFHQw 2/2",N
786053094538752000,No muchas cosas me han hecho tan feliz en estos días como darme cuenta que todo Ape in pink marble de Devendra Banhart está en spotify.,P
182815264994369537,Inaugurado el #Mercadona del ABC de Serrano. El Barrio de Salamanca se proletariza.,P
147029623987908609,"Un placer! ;-) RT @los30tuiteros: Vemos a @Cepeda, habitual en nuestro ranking, en la sesión extraordinaria de #iesecampañas",P
760353716826353664,"@WillyrexYT y repito: lo siento por no haberte hecho nada hay un gran evento en mi país (La Romería) y no he tenido tiempo, apenas pueda",NEU
180171386789179392,"El 'nuevo iPad', un triunfo comercial antes de su lanzamiento el viernes http://t.co/PTgTnvh0",P
167253954504294400,"Invercaria repartió ""casi 50 millones"" entre 2005 y 2010 ""sin control ni procedimiento"" http://t.co/lNTikM4X #Griñan y su trama",N
166243765751775233,"Mañana en #losdesayunosdetve analizamos en tertulia la victoria de Rubalcaba en el #38CongresoPSOE , Garzón, Siria y más.... A las 9.",P
816852552184631297,@dileivac los trabajos de ese curso son bonitos. ¿Qué tiene q hacer?,P
146524481219870720,"así es la vida... “@toribiobea: Como los diputados pueden hacer fotos y los periodistas no, ahí va una ..RT @Tonicanto1 moby.to/hglajs”",NONE
145082451880968192,"Merkel, Sarko y Barroso charlando en pie. Cameron sentado solo con cara de enfado #euco",N
185390504345731072,"Venga, ya estamos en portada en el Wall Street Journal http://t.co/lkenl22U",P
787053672400195584,Dios guarda para mi lo mejor por que mi fe en el siempre perdurara por la eternidad. Quien busca encuentra y no se conforma con poco.,P
176093717369864192,Impresionante el trabajo en el CERI de Sevilleja Castilla-La Mancha muy bien en la conservación del águila imperial http://t.co/Rw680boy,P
177343350771421184,¡Noticias descombacantes! está disponible! http://t.co/pdWFYyRa,P
794949226715316224,Lo que se enojó cuando le dije que me iva a ir a pachanga :v jajajajajaja lindo amiguito resultó ser,N
157851591658049537,A la cola por las autonómicas RT @pedroj_ramirez Ya era hora. El Gobierno cambiará la ley para facilitar privatización http://t.co/hJJGhf2Z,N
814535672547553280,"@JordiWild Primero los XV de Ruby ahora Tongo, jaja Giorgio de a pocos vas conociendo Latinoamerica ... aunque no la mejor cara",NONE
174748706447437824,Pobre. Hacemos colectaaa El fundador de Megaupload pide al Tribunal 130.000 euros mensuales para vivir http://t.co/mlRLAGVh via @rtve,NEU
176711147137933312,"#Invercaria, último eslabón de la cadena de corrupción en la Junta de Andalucía  http://t.co/eYU523Ja Eso espero...",N
770940498710257666,"@_lauu_20 Gracias por lo de ""ídolo""  Aunque solo soy una persona normal y corriente que escribe libros ",P
781134036622245888,"voy a salir a comprar mayolicas y acabados a habich, veamos q sucede en el camino, la gente buena celulares prendidos porfavor, 3, 2 ,1",NONE
801524549976145920,@LaliaB24 No podré concursar entonces y encima el proximo mes se vence mi suscripción al gimnasio.,N
154179306841571330,"Las razones de Público, por @jesusmarana http://t.co/iPBjnU8Y",NONE
143140299236065280,RT @Nosesiaporto: Vamos Chilenos ! ultimo esfuerzo! al banco! queda poco y lo lograremos!!! La teleton te necesita!!!,P
790414725708410880,"Se nos está volviendo costumbre del domingo por la noche, ver el episodio anterior de SNL y eso me hace recibir el lunes en un mejor mood",P
168446238096752642,Aunque quizá la puerta de la calle Pez te lleve a esta otra. En Perú. http://t.co/y0BPhSxe,NONE
770644810118168576,"@LaQueSoySiempre Te comprendo,dominar y anular como haces tú conmigo al HABLARME en voz ALTA,ok ",N
769848646867222528,"@Rafuki21 178. Sabes que me caes muy muy bien, y que en un futuro te daré un poco el coñazo con dudas de Diseño Gráfico ",P
184396894263455744,A eso del uso de un #hashtag para seguir un programa de televisión o una serie lo llaman #socialTV,NONE
165848564621250560,Puede ser RT @balerma75: @mariviromero @PSOEmalaga Tuitearán tras las elecciones andaluzas a favor de @javierarenas_pp ?  #quecosas,P
813854554001436677,@zeroanima Esto me hizo feliz pero aun mas triste por no poder teletrabajar,N
172295260813279232,Lo que os adelanté en exclusiva tuitera. Fernando Martín pierde la batalla legal con Jove por la compra de Fadesa http://t.co/y2jl9vFV,NEU
164830454191624192,"Creo que el Valencia CF mereció ganar esta noche, pero hay esperanza en el próximo partido en Barcelona #creenlafinal",P
161407759844257792,"""El voto en blanco en el Congreso del PSOE""....son muchos en el PSOE los que siguen pensando que ni Rubalcaba ni Chacónhttp://t.co/EUbPkDrI",N
177540539665760256,No sé si será convincente pero le hemos preguntado hoy a Gallardón en una entrevista qué ha querido decir esta mañana. ...,P
153407142676791297,El poema del domingo (Miguel de Unamuno) http://t.co/6Sjqv4iq,NONE
185829348832583681,@CarmeChaparro a mí me da bien.,P
809770376209305600,Mi amor infinito al ser humano que me traiga un desayunito de @McDonalds_PER muero de hambre,NONE
808474227896676352,"No Dennis, no puedes cometer los mismo errores, es hora de cambiar y cometer nuevos errores",NEU
797094392725204993,"Me acaban de confundir con un estudiante universitario... es el mejor ""buenos días"" de todos",P
177311224797728769,.@anabeldn ¿Violencia estructural? Qué barbaridad. ¿Sabe el ministro que no se obliga a abortar a nadie?,N
166279173172760576,"Aquí os dejo la portada de hoy, lunes 6 de febrero. Saludos a todos http://t.co/58VxMS1k",NONE
164797497791881216,"No creo, no? Rubalcaba estalla contra Griñán por teléfono y amenaza con impugnarle - España http://t.co/MlmKwJcI via @elconfidencial",N
157380131923570688,"@PalomaCervilla @@merceperello @@PalomaCervilla por supuesto, pero no creo que negarse a malgastar dinero sea equivocarse",NEU
173895437286256640,... y si patento un puto GPS para maletas?!,N
155381574085509120,#película La historia del camello que llora es de mi estilo http://t.co/JC1LpOSP,NEU
152546048643055618,@David_Busta @puntopelota @jpedrerol @matallanas coño!!! Se me ha ido la señal!?vaya invento el TDT!,N
148106810044317697,Es verdad que el sábado por la tarde se rompen muchas parejas pero se pierden mas paraguas si llueve.,N
175146451486244865,En el Consejo Territorial del PSOE. http://t.co/TuOvC4yK,NONE
143358081777139712,“@Ryankuletz: Creo que @edurnity se ha puesto a responder tweets sobre apellidos por el iPhone. #cosasquenuncaentenderas :)”jaajjajajja,P
789234056374263808,Que ahuevado el accidente en Cinchona..,N
798744444790972416,"Por gusto redacté un testamento para que Ale se lo publique a Steven ... Gracias Perú, me dejaste misio y encima Ale no publica nada",N
780613787376242703,@andreareyes6767 hola odiosa me hace falta,N
171642651035181057,Imágenes y testimonios muestran la extrema dureza de las cargas policiales contra estudiantes en Valencia. http://t.co/p0PXwzCs,N
818568952188203010,En pleno 2017 y hay servicios que sólo se pueden utilizar con Windows...,N
153250422600114176,FELIZ AÑO A TODOS!!!!! Os deseo lo mejor!???????,P
161921302821744641,"A las 24:00h estaré en el ""Diario de la Noche"" de @RTVMadrid, presentado por Ana Samboal",NONE
807156681419460608,Por esos amigos que les dices que estas triste y ya te están planeando las salidas hasta los viajes a futuro con ellos Como los quiero,P
176283582883565568,Yo prefiero q lo diga expresamente RT @apm1949: @sevillajordi joder jordi donde estudiaste Son deducibles como cualquier write off de activo,NEU
175873862528020480,"""Putin quiere gobernar como Stalin y vivir como Abramovitch"" denuncia el opositor demócrata Ilya Iachine.",N
770983534802632705,@perriestheory NO PONGAS COSAS PRIVADAS nah es que me ha molestado en serio ,N
166277555127717888,"El hombre, esta mayor... :)  @maximhuerta",NEU
811220709137596416,"#HolaATodos @rafaelcardozotv Necio!!!!!! Abre tu cerebro porfavor!!! No es la palabra, es el contexto",N
158256215531593729,Denuncia la vulneración de la legalidad internacional sobre persecución del genocidio por el TSupremo.,NEU
814127974593216513,"@MeDicenLauu felicidades Lau, que lo pasés genial",P
815626648443830273,"Lo bueno es que desayuné al fin comida descente, y todos los ejercicios me han dado.",P
183207789458493441,El gobierno aprobará una ley de transparencia http://t.co/giTEJeM6 arrinconada en los cajones por el ejecutivo del PSOE http://t.co/yddp4pcc,NEU
170502634782990337,"Qué cansino es el tono de las comparecencias de los portavoces del Gobierno. Ahora y antes, como si dijeran a ver si os enteráis de una vez.",N
770971664364498944,#ide el primer día de clase voy a proyectar una de estas fotografías y voy a pedir información sobre foto y autor A ver cómo resuelven ,NONE
802020454345089024,Ojala que mañana cuando vayan al Black Friday se toquen un poquito el corazón y también donen a las personas que perdieron todo,P
770926989591056385,"@manuelortegama4 se llama Wolf, es la mascota #SeSalen en apoyo a los deportistas paralímpicos 
Más inf https://t.co/KQl89uDr3h 😃",NONE
187936575982813184,Santa Cruz #malagasanta #cofradiasmlg   @ Alameda Principal http://t.co/ODIBd69r,NONE
765974724006543360,@soleyvelez @CarlosJRubiofm @Fansdelaradio @madshila mañana 2° recordatorio subliminal #OigoFanatica,NONE
784546895616172032,"Lo ""bueno"" de viajar o te dejen por hacerlos;es que sacas linea sobre si,realmente,estas ""solo"" o no.En este caso,quedo mas que claro.",NONE
153148702633115648,Este país definitivamente me vuelve melancólico!,N
171314180933160960,Más aplicaciones de medios en Facebook para llegar al público joven http://t.co/zmUPXXB3 Con un medio de amigos es +fácil crear lectores,P
806926936706519040,@Edurraiba es lamentable un tema tan sensible jamás con ese enfoque,N
803832181068091393,No #SoyUnicoPorque mi DNI dice que hay 5 personas que se llaman igual okno . Soy único porque soy como soy con mis errores y virtudes,NONE
792008627381006336,"@Caf3consal mas o menos me pasa igual, salgo de Liberia a las 4:30 y llego tipo 10 a descansar",NONE
811730589732786176,@CaELiKe Que bueno Caeli. Pronto te vas a sentir mucho mejor.,P
184878451629637632,Buenos días!,NONE
815757000395096064,@CorralesKendy ya me ha pasado y eso que le estoy dando 20min pero es un dato falso porque siempre son 10min antes,NONE
770151752964382721,"@EduHdez7th @UDLP_Oficial Preciosa vista y gran resultado, enhorabuena ",P
812178946544504833,@sin_queso NOOOO omg siempre me pierdo los mejores fanarts,N
182350844891639808,"Montoro cree  q RTVE no tiene q competir con las privadas, por eso se puede descapitalizar.  Alguien le dirá que aquí si no compites mueres?",N
814521156510236672,"@JEESrcismo por eso mismo. Yo no veo la diferencia en una supuesta ""vida sana"" impulsada por el veganismo y el resto",NONE
795401908328550400,"@LaEscude Sí, a mí también me gustó mucho, pero como todos esfuerzos sociales de Google, el problema es crearles volumen de usuarios.",N
171302136553029634,"@sanchez_sonia en este asunto, por más que algunos discrepen, los datos cantan. No ha habido igualdad hasta que se ha forzado, y aun es poca",N
159895346007384065,Portada El País http://t.co/fopE5fCM ...,NONE
171333252316012544,Barça 0-1 Valencia.,NEU
800115163919683584,"Me he guardado desde el jueves para salir hoy... y mi mejor amiga me dice: me vino la regla, no la hago. La odio por perra!",N
177071610052878337,¡Celebra 110 años del club más grande de la historia! Celebrate 110 years of the greatest club in history! http://t.co/3kRTblwG #HalaMadrid,P
178951083547303936,"Pues no es por insistir, pero es que no me la quito de la cabeza... http://t.co/9BVXFNBl LoveDannyBoyle &amp; LoveAvenueOfHope. Good Night.",P
770725676798410752,@ricki33_ me quedo con la tónic ya sabes que soy un clásico ,P
170627627403575297,Qué lección de defensa acaba de darle el Fuenla al Madrid. Sólo Felipe tira del equipo. Eso lo dice todo.,P
819299515123515396,"Estimada @evaayllon, reciba un cordial saludo, nosotros somos el 1er Centro de Ozonoterapia en el Perú, contamos con muchos tratamientos",NONE
174535217225285632,"Mañana programón!!!! Grande-Marlaska  de la Audiencia Nacional y el embajador de Irán en España...Petróleo, elecciones, derechos humanos...",P
162410010779987968,"El exministro Blanco declara hoy en TS.Está imputado,caso Campeón, q investiga una presunta trama de cobro irregular de subenciones públicas",N
170128243448483840,"Rt“@AlbertoFreireB: VIVA ESPERANZA AGUIRRE. ""Aguirre reduce de 3.500 a 700 el número de liberados sindicales en Madrid"". 72M € de ahorro.”",N
815777576564195328,Con entusiasmo y optimismo en este primer día del año. Todo depende de lo que Dios me tiene preparado. #VamosConFe,NONE
149166634895020033,El público inteligente está en las redes sociales. La educación determina su uso más que la riqueza. Impacto en medios http://t.co/CNF4O2fv,P
147560942195060736,Amaiur no cumple los requisitos y no tendrá grupo parlamentario,N
762419931371622400,Delicioso @ San Rafael Ezcazu,P
786208178497134592,Se que la pena de muerte no es algo bueno . Pero que diablos podemos hacer con los violadores ! Yo no le veo otra salida,N
153989208736935937,Que sueño... Hasta mañana. A descansar.,NEU
174447563397808129,Soraya Sáenz de Santamaría denuncia en el Senado el derroche en el alquiler de edificios públicos. 100 millones de euros,N
801961069275181056,"@anfivas Ni que fueran cámaras de cobalto. Tengo mucho tiempo de no broncearme por unas manchas en mi cara, son solo ganas de verme mejor",N
171195627655528449,"Hace un año @pperezf y @iguardans me ayudaron a entender la importancia de los Goya. Gracias, espero que hoy sean un éxito.",P
766699500891242496,"""Él es raro, pero es hay q estar demasiado mal de la cabeza para querer estar con alguien tan dañada como yo"". -Yo, hablando con mi papá.",N
181257048518963200,"Ahora a descansar después de estos 3 conciertos seguidos en Puebla, Querétaro y San Luis Potosí.",NONE
161874352390930433,"Maleducado,perdón.El representante del Congo retira la mano cuando se acerca a la princesa de Asturias http://t.co/upsmUNpR vía @antena3com”",N
148732340254949376,#investidurarajoy: Plan de empleo juvenil y reforma de la Formación Profesional.,P
757287355556302848,"Dicen q lo bueno dura poco Aveces pienso q es así y me pone triste,pero recuerdo q mas triste es fijarse en alguien q no se lo merece",N
154988137041506304,#cabalgatasevilla llega a Pza.Magdalena.Espectacular!!!Puedes verlo en @giraldatv y en nuestra web. GRACIAS.Es trending topic #sevillahoy,P
155363570463412224,“@javiercasqueiro: Aquí está el roscón http://t.co/jkqaHJiM” un poco escaso,N
783528310399729665,"Yo al chile me sorprendo jaja en el cole estudiaba la noche antes y me iba super bien, en la U empiezo 15 días antes y ni bien ni mal",N
165484522543124480,Ahora los cabeza de delegación de cada federación socialista intervienen en el pleno a puerta cerrada para ... http://t.co/7uSrstw6,NONE
182718646118924289,Buenos días a todos!,NONE
767877851848802306,"@BroomKurosawa pues descansa tío, si se pone grave la cosa no podrás jugar en muchísimo tiempo ",N
169178157688164352,http://t.co/v0u6wYVO,NONE
158868118222024704,y preguntamos en @13tv_AlDia : ¿le están convenciendo o le están decepcionando las primeras semanas d la 'Era Rajoy'? ¿por qué? @DHAM_13tv,NEU
185242161585991680,"Políticos (y otros) que para cuestionar y desprestigiar la huelga general añaden la palabra ""política"".",N
180642206447702018,Ejemplo de derroche! El Gobierno suprime ahora una empresa publica creada para los Juegos Olimpicos de 1992 y que seguia existiendo,NEU
188707313719320576,"Sarkozy lleva ya tres día, hoy, Le Pen también sacude a España. Va a contestarles el gobiernoaa",N
180405655260237824,Qué poco dura el buen rollo humano hasta en la casa de los que ganan. Basta una mirada a Génova... o a Moncloa,N
151364172108660737,"""Me usan y me tiran a la basura"" http://t.co/jDOwiy1n",N
176632137880047616,"""@BBVA: BBVA Seguros lanza una campaña con Casillas e Iniesta de protagonistas: http://t.co/Yc9MZ3O2"" Gracias, @andresiniesta8 e Iker!!!",P
770098781744398338,"Mañana me veré las que faltan, pero la mejor de la noche no ha sido Britney vaya  Me ha decepcionado",N
818315127221026820,no xq xq xq xq me duele mucho yo pensaba que ella no era así,N
143458158097076224,"""Los ministros d @marianorajoy : fin de la ineptocracia"" @Semanaldigital @PPopular http://t.co/PrsX6XAN",N
186888979663163392,"En estos 100 días de gobierno,Rajoy ha demostrado tener un gobierno serio que toma decisiones y asume responsabilidades...",P
803305331585650688,- se llevo los doritos y los frescos - pero no se llevo EL PAN @MarianaCruz04,NONE
146554948899962881,La actual situación económica hace urgente adoptar medias de control de gasto público y de austeridad en la administración de #Asturias.,N
174114486641360896,http://t.co/EfjkJmAW @agenda_db,NONE
165765757672767488,"+1 RT @nuriarocagranel: Porqué utiliza Chacón ese tono????? A mí, la verdad, es que esa forma de hablar me parece bastante artificial",N
768534019927597060,@Angela_M_A_ hombre me dices que se oía mal  yo soy defensora de Amaiah a morir JAJAJ,NEU
769880968807190528,"@ithaisa_sm @SuperScienceMe La verdad es que si, muy bonito  Me alegro que te haya gustado ! Y que hayas aprovechado el paseo virtual jeje",P
162136235547168768,El acceso a la red desde el movil presenta una brecha de genero de mas del 50% q gradualmente se reduce,N
817905673992183809,Lo malo de no saber cocinar es que debes tolerar los suculentos platos preparados por tu hermana o simplemente no comer. #PornFood,N
786048518930636800,y ale le dijo otra vez que estaban ocupados pero más calmada y recién lo capto y se fue. Al final nadie se sentó en esos sitios,NONE
151690662457262080,Angel Leon. Arroz con plancton. Hidromiel. Puerto de Santa Maria. No he comido nada igual #sibarisforever http://t.co/dMWcBNmQ,P
803109708378738688,Preferiría discutir con un umpalumpa que con un (a) cristiano (a) conservador (a) de derecha.,N
185086757589630977,"Por la cuenta que os tiene “@LostirantesdePJ: podemos afirmar de modo categórico y sin rubor alguno, que mañana no vamos a hacer huelga.”",NEU
184292962769965056,Detenidas 14 personas entre las 76 desalojadas de un edificio en Centro http://t.co/EkPS6NbE vía @elmundoes,N
170629414051266560,Menéame (si quieres): El otro álbum fotográfico de Manuel Fraga http://t.co/7G6192OK,NONE
156614907511570432,"Aunque con la BB no sé poner el enlace, recomiendo el artículo d José Luis Puerta sobre reforma del Estado Bienestar, ayer en El País.",P
791610653056364544,"@MonumentalCR buenos días, coronado frío y nublado, deseándoles un feliz día y que está navidad este llena de amor",P
164998640790810624,"“@pedroapa48: stoy en casa con fiebre, perdón por desatinos.”Mejórate. Aunque con el frío que hace mejor calentito en casa. Abrazos",NEU
181810799243837440,¿Qué aportó la Constitución de Cádiz? Hemos hablado con analistas. @TelediarioInter 20:30,NONE
758796085607313408,Es que es tan yo...Siempre estoy así ,NEU
806687497619206144,¡También tenemos tradición #costarricense! Por supuesto! #Cajeta de leche con almendras! La más rica de todas!!…,P
184944602627850241,Pablo García-Rojo: “Eurovegas tiene su primera baza en la reforma laboral del PP” http://t.co/qTz2STQs,N
165768911462211585,Chacón incide en mensajes más de izquierdas también en la línea impositiva. Que paguen ya igual las rentas de ... http://t.co/s16uJZ3F,N
142389933619945473,@PauladeLasHeras No te libraras de ayudar me/nos. Besos y gracias,NEU
804834811538001920,@Huargo1 me regalaron la mediana,NONE
773322002321010688,Es que es muy guapa ,P
172371474307493888,En el blog: Todos juntos contra el paro http://t.co/2bOua0zm,N
796060524702208000,@popstitude nadie quiere escuchar tu (horrible) música. Deberías respetar el área común. (Imbesil) super polite!,N
767731034419003392,"@ToniThrowdown ahora tengo un dilema. Ayúdame Toni 

Y en 3DS porque me salió a 25 euros nuevo https://t.co/2bSRMWnrZ5",NONE
183988255857983490,Moncloa apuesta por 57 escaños y ya deben tener primeras papeletas escrutadas. Pero no noto euforia.,NEU
142737411007459328,@SSantiagosegura @angyfdz @flofdez BORRADO ESTÁ AMIGUETES!! UN ABRUZO!!;),P
145626918073536512,Apaga y vámonos! Qué mala pata,N
157012566990794752,"#ChacónenLaSER: ""No hacerle daño a mi partido es lo que me ha llevado a Reaccionar""",P
176387787564646400,Vivir de lo que nadie quiere http://t.co/mrjKfHNI,P
800698075648053248,"Hasta luego, Arequipa See you soon (@ Aeropuerto Internacional Alférez Alfredo Rodríguez Ballón (AQP))",NONE
162123422921527296,"Te gusta? RT: “@Belenuca2323: @FedericoQuevedo has cambiado tu foto de perfil, no te reconocía ja”",P
801070468677648384,"Mi mamá me dice que no vaya al colé, en serio que la amo. Pero tengo que ir",P
180662583525769216,#FF a @DIO2HONDA porque sabe de motos y de la vida. Y porque es un superviviente @SandraMoti,P
174448870342930433,http://t.co/ZRMt3rFk En Madrid 5 ÚNICAS semanas!!!;),P
812805061986418688,@elhigadodmarita Feliz Navidad Marita... Un fuerte abrazo,NONE
176046151341047808,@PalomaCervilla @@AmparoRubiales a lo mejor las chorreadas las dicen otros con su falta de respeto a lo que piensan los demás,N
769968331428429824,Más de lo mismo...esport3 dando un partido de 2ª B entre #rcde y valencia y no se cortan un pelo en decir que el far$a marca en Bilbao ,N
170178772212002817,ya está bien de presionar al madrid con la final de la copa. Su afición ha hablado y lo ha dejado meridiano. #enelbernabeuno. YA ESTÁ BIEN,N
813253080586264576,"@15Rossonero pues la verdad la gente dice que ""partidazo"" pero el marcador estuvo influenciado por el árbitro y tácticamente fue malo",N
157438474067251200,"Para mi, escuchar a Ramoneda me sirve de referencia on #bananity http://t.co/q3a0LQvQ",P
